intnum,q0,q1a,q1b,q2,q3,f1,f2a,f2b,f3,f4,f5_1,f5_2,f5_3,f5_4,f5_5,f5_6,f5_7,f5_8,f5_9,f5_10,f5_11,f5_12,f5_13,f5_14,f5_15,f5_16,s1,s2,s3,gew
990,1,7,-99.99,1,1,1,250,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
1008,1,1,-99.99,1,1,2,-90,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
1040,1,2,-99.99,1,3,5,0,-99.99,-99.99,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,.400411
1043,1,3,-99.99,1,1,1,-90,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1044,1,3,-99.99,1,1,5,0,-99.99,-99.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.120894
1055,2,-99.99,3,1,-99.99,1,26,-99.99,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1058,1,8,-99.99,1,1,1,30,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.119703
1066,1,3,-99.99,1,1,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1076,1,3,-99.99,1,1,4,3,-99.99,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1078,1,1,-99.99,1,1,1,75,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
1091,1,8,-99.99,1,2,5,0,-99.99,-99.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-99.99,2,1.100399
1117,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1121,1,10,-99.99,1,-99.99,1,20,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1131,2,-99.99,3,1,-99.99,1,135,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1135,2,-99.99,3,1,-99.99,1,7,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1146,1,10,-99.99,1,-99.99,3,20,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1180,1,1,-99.99,1,1,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
1223,1,7,-99.99,1,1,1,30,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
1238,1,10,-99.99,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,.73848
1276,1,8,-99.99,1,1,1,300,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.119703
1279,2,-99.99,2,1,-99.99,1,40,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1280,1,10,-99.99,1,-99.99,3,5,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1282,1,1,-99.99,1,1,1,50,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
1287,1,1,-99.99,1,1,1,90,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,-90,1.124519
1301,1,2,-99.99,1,1,2,-90,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1303,1,2,-99.99,1,2,1,300,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.131109
1314,1,1,-99.99,1,1,2,-90,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
1324,1,10,-99.99,1,-99.99,3,30,-99.99,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1341,1,2,-99.99,1,1,1,-90,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1343,1,3,-99.99,1,1,2,50,-99.99,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1366,2,-99.99,1,1,-99.99,1,2000,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1370,1,7,-99.99,1,1,1,-90,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
1372,1,7,-99.99,1,1,1,300,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
1401,2,-99.99,1,1,-99.99,1,300,-99.99,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1420,1,2,-99.99,1,1,1,50,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1421,1,2,-99.99,1,1,2,10,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1429,1,8,-99.99,1,3,1,100,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,2,.436315
1431,1,1,-99.99,1,3,1,-90,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.450265
1432,2,-99.99,1,1,-99.99,1,250,-99.99,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1434,2,-99.99,2,1,-99.99,1,300,-99.99,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1437,2,-99.99,3,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1444,1,3,-99.99,1,1,1,80,-99.99,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1446,1,3,-99.99,1,1,1,3,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1477,1,1,-99.99,1,1,1,200,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.124519
1480,1,2,-99.99,1,1,1,220,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1.128891
1485,2,-99.99,3,1,-99.99,1,200,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1492,1,7,-99.99,1,2,1,270,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.058517
1497,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1499,2,-99.99,3,1,-99.99,1,10,-99.99,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1503,1,10,-99.99,1,-99.99,1,50,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1507,1,3,-99.99,1,1,2,36,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1.120894
1510,1,4,-99.99,1,2,1,70,-99.99,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.070126
1525,1,10,-99.99,1,-99.99,1,50,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1529,1,10,-99.99,1,-99.99,1,150,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
1543,1,3,-99.99,1,3,1,150,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,.443359
1545,1,2,-99.99,1,1,1,20,-99.99,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1556,1,3,-99.99,1,1,1,6,-99.99,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1563,1,3,-99.99,1,1,1,8,-99.99,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1567,1,9,-99.99,1,1,1,50,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,2,1.126647
1575,1,2,-99.99,1,1,1,18,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
1578,1,3,-99.99,1,2,1,60,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.062491
1591,2,-99.99,1,1,-99.99,2,200,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1603,1,10,-99.99,1,-99.99,1,125,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,.73848
1610,2,-99.99,2,1,-99.99,1,35,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
1617,1,3,-99.99,1,1,1,85,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1642,1,3,-99.99,1,1,1,80,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
1664,1,7,-99.99,1,2,4,500,-99.99,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,2,1.058517
1667,2,-99.99,2,1,-99.99,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
